Starting dataset generation. Output file: 'crtbp_natural_language_20260808_234158.jsonl'
Completed Trajectory 1/500 | Saved 648 steps | Cumulative: 648
Completed Trajectory 422/500 | Saved 224 steps | Cumulative: 131329
Completed Trajectory 423/500 | Saved 35 steps | Cumulative: 131364
Completed Trajectory 424/500 | Saved 42 steps | Cumulative: 131406
Completed Trajectory 425/500 | Saved 66 steps | Cumulative: 131472
Completed Trajectory 426/500 | Saved 781 steps | Cumulative: 132253
Completed Trajectory 427/500 | Saved 803 steps | Cumulative: 133056
Completed Trajectory 428/500 | Saved 34 steps | Cumulative: 133090
Completed Trajectory 429/500 | Saved 987 steps | Cumulative: 134077
Completed Trajectory 430/500 | Saved 986 steps | Cumulative: 135063
Completed Trajectory 431/500 | Saved 35 steps | Cumulative: 135098
Completed Trajectory 432/500 | Saved 408 steps | Cumulative: 135506
Completed Trajectory 433/500 | Saved 41 steps | Cumulative: 135547
Completed Trajectory 434/500 | Saved 188 steps | Cumulative: 135735
Completed Trajectory 435/500 | Saved 370 steps | Cumulative: 136105
Completed Trajectory 436/500 | Saved 36 steps | Cumulative: 136141
Completed Trajectory 437/500 | Saved 353 steps | Cumulative: 136494
Completed Trajectory 438/500 | Saved 182 steps | Cumulative: 136676
Completed Trajectory 439/500 | Saved 677 steps | Cumulative: 137353
Completed Trajectory 440/500 | Saved 44 steps | Cumulative: 137397
Completed Trajectory 441/500 | Saved 222 steps | Cumulative: 137619
Completed Trajectory 442/500 | Saved 255 steps | Cumulative: 137874
Completed Trajectory 443/500 | Saved 156 steps | Cumulative: 138030
Completed Trajectory 444/500 | Saved 38 steps | Cumulative: 138068
Completed Trajectory 445/500 | Saved 227 steps | Cumulative: 138295
Completed Trajectory 446/500 | Saved 34 steps | Cumulative: 138329
Completed Trajectory 447/500 | Saved 311 steps | Cumulative: 138640
Completed Trajectory 448/500 | Saved 33 steps | Cumulative: 138673
Completed Trajectory 449/500 | Saved 795 steps | Cumulative: 139468
Completed Trajectory 450/500 | Saved 989 steps | Cumulative: 140457
Completed Trajectory 451/500 | Saved 348 steps | Cumulative: 140805
Completed Trajectory 452/500 | Saved 35 steps | Cumulative: 140840
Completed Trajectory 453/500 | Saved 475 steps | Cumulative: 141315
Completed Trajectory 454/500 | Saved 38 steps | Cumulative: 141353
Completed Trajectory 455/500 | Saved 985 steps | Cumulative: 142338
Completed Trajectory 456/500 | Saved 39 steps | Cumulative: 142377
Completed Trajectory 457/500 | Saved 298 steps | Cumulative: 142675
Completed Trajectory 458/500 | Saved 35 steps | Cumulative: 142710
Completed Trajectory 459/500 | Saved 968 steps | Cumulative: 143678
Completed Trajectory 460/500 | Saved 134 steps | Cumulative: 143812
Completed Trajectory 461/500 | Saved 986 steps | Cumulative: 144798
Completed Trajectory 462/500 | Saved 279 steps | Cumulative: 145077
Completed Trajectory 463/500 | Saved 995 steps | Cumulative: 146072
Completed Trajectory 464/500 | Saved 37 steps | Cumulative: 146109
Completed Trajectory 465/500 | Saved 209 steps | Cumulative: 146318
Completed Trajectory 466/500 | Saved 40 steps | Cumulative: 146358
Completed Trajectory 467/500 | Saved 287 steps | Cumulative: 146645
Completed Trajectory 468/500 | Saved 158 steps | Cumulative: 146803
Completed Trajectory 469/500 | Saved 360 steps | Cumulative: 147163
Completed Trajectory 470/500 | Saved 321 steps | Cumulative: 147484
Completed Trajectory 471/500 | Saved 36 steps | Cumulative: 147520
Completed Trajectory 472/500 | Saved 242 steps | Cumulative: 147762
Completed Trajectory 473/500 | Saved 186 steps | Cumulative: 147948
Completed Trajectory 474/500 | Saved 37 steps | Cumulative: 147985
Completed Trajectory 475/500 | Saved 986 steps | Cumulative: 148971
Completed Trajectory 476/500 | Saved 36 steps | Cumulative: 149007
Completed Trajectory 477/500 | Saved 199 steps | Cumulative: 149206
Completed Trajectory 478/500 | Saved 36 steps | Cumulative: 149242
Completed Trajectory 479/500 | Saved 135 steps | Cumulative: 149377
Completed Trajectory 480/500 | Saved 41 steps | Cumulative: 149418
Completed Trajectory 481/500 | Saved 38 steps | Cumulative: 149456
Completed Trajectory 482/500 | Saved 986 steps | Cumulative: 150442
Completed Trajectory 483/500 | Saved 989 steps | Cumulative: 151431
Completed Trajectory 484/500 | Saved 290 steps | Cumulative: 151721
Completed Trajectory 485/500 | Saved 984 steps | Cumulative: 152705
Completed Trajectory 486/500 | Saved 43 steps | Cumulative: 152748
Completed Trajectory 487/500 | Saved 983 steps | Cumulative: 153731
Completed Trajectory 488/500 | Saved 440 steps | Cumulative: 154171
Completed Trajectory 489/500 | Saved 544 steps | Cumulative: 154715
Completed Trajectory 490/500 | Saved 988 steps | Cumulative: 155703
Completed Trajectory 491/500 | Saved 989 steps | Cumulative: 156692
Completed Trajectory 492/500 | Saved 983 steps | Cumulative: 157675
Completed Trajectory 493/500 | Saved 227 steps | Cumulative: 157902
Completed Trajectory 494/500 | Saved 35 steps | Cumulative: 157937
Completed Trajectory 495/500 | Saved 811 steps | Cumulative: 158748
Completed Trajectory 496/500 | Saved 242 steps | Cumulative: 158990
Completed Trajectory 497/500 | Saved 377 steps | Cumulative: 159367
Completed Trajectory 498/500 | Saved 92 steps | Cumulative: 159459
Completed Trajectory 499/500 | Saved 75 steps | Cumulative: 159534
Completed Trajectory 500/500 | Saved 46 steps | Cumulative: 159580

Done! Successfully saved 159580 total samples to 'crtbp_natural_language_20260808_234158.jsonl'
