Starting dataset generation. Output file: 'crtbp_natural_language_20260804_035216.jsonl'
Completed Trajectory 1/500 | Saved 196 steps | Cumulative: 196
Completed Trajectory 422/500 | Saved 36 steps | Cumulative: 148154
Completed Trajectory 423/500 | Saved 37 steps | Cumulative: 148191
Completed Trajectory 424/500 | Saved 823 steps | Cumulative: 149014
Completed Trajectory 425/500 | Saved 31 steps | Cumulative: 149045
Completed Trajectory 426/500 | Saved 42 steps | Cumulative: 149087
Completed Trajectory 427/500 | Saved 271 steps | Cumulative: 149358
Completed Trajectory 428/500 | Saved 188 steps | Cumulative: 149546
Completed Trajectory 429/500 | Saved 225 steps | Cumulative: 149771
Completed Trajectory 430/500 | Saved 35 steps | Cumulative: 149806
Completed Trajectory 431/500 | Saved 135 steps | Cumulative: 149941
Completed Trajectory 432/500 | Saved 150 steps | Cumulative: 150091
Completed Trajectory 433/500 | Saved 900 steps | Cumulative: 150991
Completed Trajectory 434/500 | Saved 226 steps | Cumulative: 151217
Completed Trajectory 435/500 | Saved 41 steps | Cumulative: 151258
Completed Trajectory 436/500 | Saved 777 steps | Cumulative: 152035
Completed Trajectory 437/500 | Saved 602 steps | Cumulative: 152637
Completed Trajectory 438/500 | Saved 36 steps | Cumulative: 152673
Completed Trajectory 439/500 | Saved 922 steps | Cumulative: 153595
Completed Trajectory 440/500 | Saved 717 steps | Cumulative: 154312
Completed Trajectory 441/500 | Saved 984 steps | Cumulative: 155296
Completed Trajectory 442/500 | Saved 32 steps | Cumulative: 155328
Completed Trajectory 443/500 | Saved 400 steps | Cumulative: 155728
Completed Trajectory 444/500 | Saved 33 steps | Cumulative: 155761
Completed Trajectory 445/500 | Saved 243 steps | Cumulative: 156004
Completed Trajectory 446/500 | Saved 985 steps | Cumulative: 156989
Completed Trajectory 447/500 | Saved 988 steps | Cumulative: 157977
Completed Trajectory 448/500 | Saved 986 steps | Cumulative: 158963
Completed Trajectory 449/500 | Saved 225 steps | Cumulative: 159188
Completed Trajectory 450/500 | Saved 44 steps | Cumulative: 159232
Completed Trajectory 451/500 | Saved 279 steps | Cumulative: 159511
Completed Trajectory 452/500 | Saved 39 steps | Cumulative: 159550
Completed Trajectory 453/500 | Saved 39 steps | Cumulative: 159589
Completed Trajectory 454/500 | Saved 984 steps | Cumulative: 160573
Completed Trajectory 455/500 | Saved 982 steps | Cumulative: 161555
Completed Trajectory 456/500 | Saved 35 steps | Cumulative: 161590
Completed Trajectory 457/500 | Saved 41 steps | Cumulative: 161631
Completed Trajectory 458/500 | Saved 35 steps | Cumulative: 161666
Completed Trajectory 459/500 | Saved 39 steps | Cumulative: 161705
Completed Trajectory 460/500 | Saved 984 steps | Cumulative: 162689
Completed Trajectory 461/500 | Saved 167 steps | Cumulative: 162856
Completed Trajectory 462/500 | Saved 36 steps | Cumulative: 162892
Completed Trajectory 463/500 | Saved 976 steps | Cumulative: 163868
Completed Trajectory 464/500 | Saved 298 steps | Cumulative: 164166
Completed Trajectory 465/500 | Saved 175 steps | Cumulative: 164341
Completed Trajectory 466/500 | Saved 816 steps | Cumulative: 165157
Completed Trajectory 467/500 | Saved 304 steps | Cumulative: 165461
Completed Trajectory 468/500 | Saved 974 steps | Cumulative: 166435
Completed Trajectory 469/500 | Saved 221 steps | Cumulative: 166656
Completed Trajectory 470/500 | Saved 308 steps | Cumulative: 166964
Completed Trajectory 471/500 | Saved 982 steps | Cumulative: 167946
Completed Trajectory 472/500 | Saved 38 steps | Cumulative: 167984
Completed Trajectory 473/500 | Saved 37 steps | Cumulative: 168021
Completed Trajectory 474/500 | Saved 376 steps | Cumulative: 168397
Completed Trajectory 475/500 | Saved 34 steps | Cumulative: 168431
Completed Trajectory 476/500 | Saved 988 steps | Cumulative: 169419
Completed Trajectory 477/500 | Saved 100 steps | Cumulative: 169519
Completed Trajectory 478/500 | Saved 985 steps | Cumulative: 170504
Completed Trajectory 479/500 | Saved 189 steps | Cumulative: 170693
Completed Trajectory 480/500 | Saved 988 steps | Cumulative: 171681
Completed Trajectory 481/500 | Saved 35 steps | Cumulative: 171716
Completed Trajectory 482/500 | Saved 989 steps | Cumulative: 172705
Completed Trajectory 483/500 | Saved 62 steps | Cumulative: 172767
Completed Trajectory 484/500 | Saved 38 steps | Cumulative: 172805
Completed Trajectory 485/500 | Saved 33 steps | Cumulative: 172838
Completed Trajectory 486/500 | Saved 777 steps | Cumulative: 173615
Completed Trajectory 487/500 | Saved 53 steps | Cumulative: 173668
Completed Trajectory 488/500 | Saved 37 steps | Cumulative: 173705
Completed Trajectory 489/500 | Saved 579 steps | Cumulative: 174284
Completed Trajectory 490/500 | Saved 472 steps | Cumulative: 174756
Completed Trajectory 491/500 | Saved 43 steps | Cumulative: 174799
Completed Trajectory 492/500 | Saved 985 steps | Cumulative: 175784
Completed Trajectory 493/500 | Saved 320 steps | Cumulative: 176104
Completed Trajectory 494/500 | Saved 44 steps | Cumulative: 176148
Completed Trajectory 495/500 | Saved 893 steps | Cumulative: 177041
Completed Trajectory 496/500 | Saved 38 steps | Cumulative: 177079
Completed Trajectory 497/500 | Saved 291 steps | Cumulative: 177370
Completed Trajectory 498/500 | Saved 35 steps | Cumulative: 177405
Completed Trajectory 499/500 | Saved 33 steps | Cumulative: 177438
Completed Trajectory 500/500 | Saved 189 steps | Cumulative: 177627

Done! Successfully saved 177627 total samples to 'crtbp_natural_language_20260804_035216.jsonl'
